Model,Type,Account,Answer,Correct,Repetition per Account(Model),Repetition per Type(Model),Repetition per Question(Model),Account(Model) Cumulative,Type(Model) Cumulative,Question(Model) Cumulative,Account(Model) Percentual,Type(Model) Percentual,Question(Model) Percentual
gemini-1.5-flash-002,CoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,90700.0,0,13,7,13,0,0,0,=0/13,=0/7,=0/13
gemini-1.5-flash-002,CoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,90718.0,0,14,8,14,0,0,0,=0/14,=0/8,=0/14
gemini-1.5-flash-002,CoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,90718.0,0,15,9,15,0,0,0,=0/15,=0/9,=0/15
gemini-1.5-flash-002,CoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,90718.06,0,16,10,16,0,0,0,=0/16,=0/10,=0/16
gemini-1.5-flash-002,CoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,90718.03,0,17,11,17,0,0,0,=0/17,=0/11,=0/17
gemini-1.5-flash-002,CoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,90718.06,0,18,12,18,0,0,0,=0/18,=0/12,=0/18
gemini-1.5-flash-002,CoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,90718.0,0,19,13,19,0,0,0,=0/19,=0/13,=0/19
gemini-1.5-flash-002,CoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,90718.05,0,20,14,20,0,0,0,=0/20,=0/14,=0/20
gemini-1.5-flash-002,CoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,90718.07,0,21,15,21,0,0,0,=0/21,=0/15,=0/21
gemini-1.5-flash-002,CoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,90700.0,0,22,16,22,0,0,0,=0/22,=0/16,=0/22
gemini-1.5-flash-002,CoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,90718.0,0,23,17,23,0,0,0,=0/23,=0/17,=0/23
gemini-1.5-flash-002,CoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,90718.0,0,24,18,24,0,0,0,=0/24,=0/18,=0/24
gemini-1.5-flash-002,CoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,90718.04,0,25,19,25,0,0,0,=0/25,=0/19,=0/25
gemini-1.5-flash-002,CoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,90717.85,0,26,20,26,0,0,0,=0/26,=0/20,=0/26
gemini-1.5-flash-002,CoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,90718.02,0,27,21,27,0,0,0,=0/27,=0/21,=0/27
gemini-1.5-flash-002,CoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,90718.47,0,28,22,28,0,0,0,=0/28,=0/22,=0/28
gemini-1.5-flash-002,CoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,90718.06,0,29,23,29,0,0,0,=0/29,=0/23,=0/29
gemini-1.5-flash-002,CoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,90718.04,0,30,24,30,0,0,0,=0/30,=0/24,=0/30
gemini-1.5-flash-002,CoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,90718.0,0,31,25,31,0,0,0,=0/31,=0/25,=0/31
gemini-1.5-flash-002,CoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,90718.47,0,32,26,32,0,0,0,=0/32,=0/26,=0/32
gemini-1.5-flash-002,CoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,90718.04,0,33,27,33,0,0,0,=0/33,=0/27,=0/33
gemini-1.5-flash-002,CoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,90718.06,0,34,28,34,0,0,0,=0/34,=0/28,=0/34
gemini-1.5-flash-002,CoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,90718.0,0,35,29,35,0,0,0,=0/35,=0/29,=0/35
gemini-1.5-flash-002,CoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,90718.04,0,36,30,36,0,0,0,=0/36,=0/30,=0/36
gemini-1.5-flash-002,CoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,90700.0,0,37,31,37,0,0,0,=0/37,=0/31,=0/37
gemini-1.5-flash-002,CoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,90718.0,0,38,32,38,0,0,0,=0/38,=0/32,=0/38
gemini-1.5-flash-002,CoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,90718.47,0,39,33,39,0,0,0,=0/39,=0/33,=0/39
gemini-1.5-flash-002,CoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,90718.47,0,40,34,40,0,0,0,=0/40,=0/34,=0/40
gemini-1.5-flash-002,PoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,90718.0,0,3,1,3,0,0,0,=0/3,=0/1,=0/3
gemini-1.5-flash-002,PoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,90717.95,0,42,2,42,0,0,0,=0/42,=0/2,=0/42
gemini-1.5-flash-002,PoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,90717.0,0,43,3,43,0,0,0,=0/43,=0/3,=0/43
gemini-1.5-flash-002,PoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,90717.95,0,44,4,44,0,0,0,=0/44,=0/4,=0/44
gemini-1.5-flash-002,PoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,90717.95,0,45,5,45,0,0,0,=0/45,=0/5,=0/45
gemini-1.5-flash-002,PoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,90717.95,0,46,6,46,0,0,0,=0/46,=0/6,=0/46
gemini-1.5-flash-002,PoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,90717.95,0,47,7,47,0,0,0,=0/47,=0/7,=0/47
gemini-1.5-flash-002,PoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,90717.95,0,48,8,48,0,0,0,=0/48,=0/8,=0/48
gemini-1.5-flash-002,PoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,90717.95,0,49,9,49,0,0,0,=0/49,=0/9,=0/49
gemini-1.5-flash-002,PoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,90717.95,0,50,10,50,0,0,0,=0/50,=0/10,=0/50
gemini-1.5-flash-002,one_shot,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,52462.17,0,7,5,7,0,0,0,=0/7,=0/5,=0/7
gemini-1.5-flash-002,one_shot,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,54881.16,0,52,6,52,0,0,0,=0/52,=0/6,=0/52
gemini-1.5-flash-002,one_shot,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,52160.16,0,53,7,53,0,0,0,=0/53,=0/7,=0/53
gemini-1.5-flash-002,one_shot,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,52160.16,0,54,8,54,0,0,0,=0/54,=0/8,=0/54
gemini-1.5-flash-002,one_shot,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,52160.19,0,55,9,55,0,0,0,=0/55,=0/9,=0/55
gemini-1.5-flash-002,one_shot,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,52179.84,0,56,10,56,0,0,0,=0/56,=0/10,=0/56
gemini-1.5-flash-002,one_shot,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,54881.16,0,57,11,57,0,0,0,=0/57,=0/11,=0/57
gemini-1.5-flash-002,one_shot,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,52160.19,0,58,12,58,0,0,0,=0/58,=0/12,=0/58
gemini-1.5-flash-002,one_shot,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,52169.76,0,59,13,59,0,0,0,=0/59,=0/13,=0/59
gemini-1.5-flash-002,one_shot,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,52160.16,0,60,14,60,0,0,0,=0/60,=0/14,=0/60
gemini-1.5-flash-002,one_shot,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,52160.16,0,61,15,61,0,0,0,=0/61,=0/15,=0/61
gemini-1.5-flash-002,one_shot,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,52173.21,0,62,16,62,0,0,0,=0/62,=0/16,=0/62
gemini-1.5-flash-002,one_shot,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,51340.0,0,63,17,63,0,0,0,=0/63,=0/17,=0/63
gemini-1.5-flash-002,PoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,90717.95,0,51,11,51,0,0,0,=0/51,=0/11,=0/51
gemini-1.5-flash-002,PoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,90717.95,0,65,12,65,0,0,0,=0/65,=0/12,=0/65
gemini-1.5-flash-002,PoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,90717.95,0,66,13,66,0,0,0,=0/66,=0/13,=0/66
gemini-1.5-flash-002,PoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,90717.95,0,67,14,67,0,0,0,=0/67,=0/14,=0/67
gemini-1.5-flash-002,PoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,90718.0,0,68,15,68,0,0,0,=0/68,=0/15,=0/68
gemini-1.5-flash-002,PoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,90717.0,0,69,16,69,0,0,0,=0/69,=0/16,=0/69
gemini-1.5-flash-002,PoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,90717.0,0,70,17,70,0,0,0,=0/70,=0/17,=0/70
gemini-1.5-flash-002,PoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,90717.95,0,71,18,71,0,0,0,=0/71,=0/18,=0/71
gemini-1.5-flash-002,PoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,90717.95,0,72,19,72,0,0,0,=0/72,=0/19,=0/72
gemini-1.5-flash-002,PoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,90717.95,0,73,20,73,0,0,0,=0/73,=0/20,=0/73
gemini-1.5-flash-002,PoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,90717.95,0,74,21,74,0,0,0,=0/74,=0/21,=0/74
gemini-1.5-flash-002,PoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,90717.95,0,75,22,75,0,0,0,=0/75,=0/22,=0/75
gemini-1.5-flash-002,PoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,90717.95,0,76,23,76,0,0,0,=0/76,=0/23,=0/76
gemini-1.5-flash-002,PoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,90717.0,0,77,24,77,0,0,0,=0/77,=0/24,=0/77
gemini-1.5-flash-002,PoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,90718.0,0,78,25,78,0,0,0,=0/78,=0/25,=0/78
gemini-1.5-flash-002,PoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,90717.95,0,79,26,79,0,0,0,=0/79,=0/26,=0/79
gemini-1.5-flash-002,PoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,90717.95,0,80,27,80,0,0,0,=0/80,=0/27,=0/80
gemini-1.5-flash-002,PoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,90717.95,0,81,28,81,0,0,0,=0/81,=0/28,=0/81
gemini-1.5-flash-002,PoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,90717.0,0,82,29,82,0,0,0,=0/82,=0/29,=0/82
gemini-1.5-flash-002,PoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,90717.95,0,83,30,83,0,0,0,=0/83,=0/30,=0/83
gemini-1.5-flash-002,PoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,90717.95,0,84,31,84,0,0,0,=0/84,=0/31,=0/84
gemini-1.5-flash-002,PoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,90717.0,0,85,32,85,0,0,0,=0/85,=0/32,=0/85
gemini-1.5-flash-002,PoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,90718.0,0,86,33,86,0,0,0,=0/86,=0/33,=0/86
gemini-1.5-flash-002,PoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,90717.95,0,87,34,87,0,0,0,=0/87,=0/34,=0/87
gemini-1.5-flash-002,CoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,90700.0,0,41,35,41,0,0,0,=0/41,=0/35,=0/41
gemini-1.5-flash-002,CoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,90700.0,0,89,36,89,0,0,0,=0/89,=0/36,=0/89
gemini-1.5-flash-002,CoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,90718.0,0,90,37,90,0,0,0,=0/90,=0/37,=0/90
gemini-1.5-flash-002,CoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,90718.06,0,91,38,91,0,0,0,=0/91,=0/38,=0/91
gemini-1.5-flash-002,CoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,90718.04,0,92,39,92,0,0,0,=0/92,=0/39,=0/92
gemini-1.5-flash-002,CoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,90718.07,0,93,40,93,0,0,0,=0/93,=0/40,=0/93
gemini-1.5-flash-002,CoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,90718.47,0,94,41,94,0,0,0,=0/94,=0/41,=0/94
gemini-1.5-flash-002,CoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,90718.0,0,95,42,95,0,0,0,=0/95,=0/42,=0/95
gemini-1.5-flash-002,one_shot,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,52465.67,0,64,18,64,0,0,0,=0/64,=0/18,=0/64
gemini-1.5-flash-002,one_shot,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,52157.82,0,97,19,97,0,0,0,=0/97,=0/19,=0/97
gemini-1.5-flash-002,one_shot,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,52160.19,0,98,20,98,0,0,0,=0/98,=0/20,=0/98
gemini-1.5-flash-002,one_shot,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,52465.78,0,99,21,99,0,0,0,=0/99,=0/21,=0/99
gemini-1.5-flash-002,one_shot,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,52104.69,0,100,22,100,0,0,0,=0/100,=0/22,=0/100
gemini-1.5-flash-002,one_shot,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,52157.88,0,101,23,101,0,0,0,=0/101,=0/23,=0/101
gemini-1.5-flash-002,one_shot,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,82646.78,0,102,24,102,0,0,0,=0/102,=0/24,=0/102
gemini-1.5-flash-002,one_shot,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,52160.17,0,103,25,103,0,0,0,=0/103,=0/25,=0/103
gemini-1.5-flash-002,one_shot,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,51340.0,0,104,26,104,0,0,0,=0/104,=0/26,=0/104
gemini-1.5-flash-002,one_shot,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,52160.19,0,105,27,105,0,0,0,=0/105,=0/27,=0/105
gemini-1.5-flash-002,one_shot,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,51340.07,0,106,28,106,0,0,0,=0/106,=0/28,=0/106
gemini-1.5-flash-002,one_shot,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,54881.16,0,107,29,107,0,0,0,=0/107,=0/29,=0/107
gemini-1.5-flash-002,one_shot,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,51340.0,0,108,30,108,0,0,0,=0/108,=0/30,=0/108
gemini-1.5-flash-002,one_shot,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,52464.79,0,109,31,109,0,0,0,=0/109,=0/31,=0/109
gemini-1.5-flash-002,one_shot,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,52465.64,0,110,32,110,0,0,0,=0/110,=0/32,=0/110
gemini-1.5-flash-002,PoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,90717.0,0,88,35,88,0,0,0,=0/88,=0/35,=0/88
gemini-1.5-flash-002,PoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,90717.95,0,112,36,112,0,0,0,=0/112,=0/36,=0/112
gemini-1.5-flash-002,PoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,90717.95,0,113,37,113,0,0,0,=0/113,=0/37,=0/113
gemini-1.5-flash-002,PoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,90717.95,0,114,38,114,0,0,0,=0/114,=0/38,=0/114
gemini-1.5-flash-002,PoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,90717.95,0,115,39,115,0,0,0,=0/115,=0/39,=0/115
gemini-1.5-flash-002,PoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,90717.95,0,116,40,116,0,0,0,=0/116,=0/40,=0/116
gemini-1.5-flash-002,PoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,90717.95,0,117,41,117,0,0,0,=0/117,=0/41,=0/117
gemini-1.5-flash-002,PoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,90717.95,0,118,42,118,0,0,0,=0/118,=0/42,=0/118
gemini-1.5-flash-002,PoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,90717.0,0,119,43,119,0,0,0,=0/119,=0/43,=0/119
gemini-1.5-flash-002,PoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,90717.95,0,120,44,120,0,0,0,=0/120,=0/44,=0/120
gemini-1.5-flash-002,PoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,90717.0,0,121,45,121,0,0,0,=0/121,=0/45,=0/121
gemini-1.5-flash-002,PoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,90717.95,0,122,46,122,0,0,0,=0/122,=0/46,=0/122
gemini-1.5-flash-002,PoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,90717.95,0,123,47,123,0,0,0,=0/123,=0/47,=0/123
gemini-1.5-flash-002,PoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,90717.95,0,124,48,124,0,0,0,=0/124,=0/48,=0/124
gemini-1.5-flash-002,PoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,90717.0,0,125,49,125,0,0,0,=0/125,=0/49,=0/125
gemini-1.5-flash-002,PoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,90717.95,0,126,50,126,0,0,0,=0/126,=0/50,=0/126
gemini-1.5-flash-002,PoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,90717.0,0,127,51,127,0,0,0,=0/127,=0/51,=0/127
gemini-1.5-flash-002,PoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,90717.95,0,128,52,128,0,0,0,=0/128,=0/52,=0/128
gemini-1.5-flash-002,PoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,90717.0,0,129,53,129,0,0,0,=0/129,=0/53,=0/129
gemini-1.5-flash-002,PoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,90717.0,0,130,54,130,0,0,0,=0/130,=0/54,=0/130
gemini-1.5-flash-002,PoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,90717.95,0,131,55,131,0,0,0,=0/131,=0/55,=0/131
gemini-1.5-flash-002,PoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,90717.0,0,132,56,132,0,0,0,=0/132,=0/56,=0/132
gemini-1.5-flash-002,PoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,90717.0,0,133,57,133,0,0,0,=0/133,=0/57,=0/133
gemini-1.5-flash-002,PoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,90717.95,0,134,58,134,0,0,0,=0/134,=0/58,=0/134
gemini-1.5-flash-002,PoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,90717.95,0,135,59,135,0,0,0,=0/135,=0/59,=0/135
gemini-1.5-flash-002,PoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,90717.95,0,136,60,136,0,0,0,=0/136,=0/60,=0/136
gemini-1.5-flash-002,PoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,90717.95,0,137,61,137,0,0,0,=0/137,=0/61,=0/137
gemini-1.5-flash-002,PoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,90717.95,0,138,62,138,0,0,0,=0/138,=0/62,=0/138
gemini-1.5-flash-002,PoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,90717.95,0,139,63,139,0,0,0,=0/139,=0/63,=0/139
gemini-1.5-flash-002,PoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,90717.95,0,140,64,140,0,0,0,=0/140,=0/64,=0/140
gemini-1.5-flash-002,PoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,90717.0,0,141,65,141,0,0,0,=0/141,=0/65,=0/141
gemini-1.5-flash-002,PoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,90717.95,0,142,66,142,0,0,0,=0/142,=0/66,=0/142
gemini-1.5-flash-002,PoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,90717.95,0,143,67,143,0,0,0,=0/143,=0/67,=0/143
gemini-1.5-flash-002,PoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,90717.95,0,144,68,144,0,0,0,=0/144,=0/68,=0/144
gemini-1.5-flash-002,PoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,90717.95,0,145,69,145,0,0,0,=0/145,=0/69,=0/145
gemini-1.5-flash-002,PoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,90717.95,0,146,70,146,0,0,0,=0/146,=0/70,=0/146
gemini-1.5-flash-002,PoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,90717.95,0,147,71,147,0,0,0,=0/147,=0/71,=0/147
gemini-1.5-flash-002,PoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,90717.0,0,148,72,148,0,0,0,=0/148,=0/72,=0/148
gemini-1.5-flash-002,PoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,90717.95,0,149,73,149,0,0,0,=0/149,=0/73,=0/149
gemini-1.5-flash-002,PoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,90717.95,0,150,74,150,0,0,0,=0/150,=0/74,=0/150
gemini-1.5-flash-002,PoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,90717.95,0,151,75,151,0,0,0,=0/151,=0/75,=0/151
gemini-1.5-flash-002,PoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,90717.0,0,152,76,152,0,0,0,=0/152,=0/76,=0/152
gemini-1.5-flash-002,PoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,90717.95,0,153,77,153,0,0,0,=0/153,=0/77,=0/153
gemini-1.5-flash-002,PoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,90717.0,0,154,78,154,0,0,0,=0/154,=0/78,=0/154
