Model,Type,Account,X,Y,Correct,Repetition per Account(Model),Repetition per Type(Model),Repetition per Question(Model),Account(Model) Cumulative,Type(Model) Cumulative,Question(Model) Cumulative,Account(Model) Percentual,Type(Model) Percentual,Question(Model) Percentual,Type and Account Percentual
gemini-1.5-flash-002,CoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,2.02876,1.8197,1,13,10,13,11,10,11,=11/13,=10/10,=11/13,=10/10
gemini-1.5-flash-002,one_shot,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,2.02876,1.8197,1,1,1,1,1,1,1,=1/1,=1/1,=1/1,=1/1
gemini-1.5-flash-002,one_shot,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,2.02876,1.8197,1,15,2,15,13,2,13,=13/15,=2/2,=13/15,=2/2
gemini-1.5-flash-002,PoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,#,0,4,2,4,2,0,2,=2/4,=0/2,=2/4,=0/2
gemini-1.5-flash-002,PoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,#,0,17,3,17,14,0,14,=14/17,=0/3,=14/17,=0/3
gemini-1.5-flash-002,CoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,2.02876,1.8197,1,14,11,14,12,11,12,=12/14,=11/11,=12/14,=11/11
gemini-1.5-flash-002,CoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,2.02876,1.8197,1,19,12,19,15,12,15,=15/19,=12/12,=15/19,=12/12
gemini-1.5-flash-002,one_shot,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,2.02876,1.8197,1,16,3,16,14,3,14,=14/16,=3/3,=14/16,=3/3
gemini-1.5-flash-002,one_shot,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,2.02876,1.8197,1,21,4,21,17,4,17,=17/21,=4/4,=17/21,=4/4
gemini-1.5-flash-002,one_shot,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,2.02876,1.8197,1,22,5,22,18,5,18,=18/22,=5/5,=18/22,=5/5
gemini-1.5-flash-002,PoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,#,0,18,4,18,14,0,14,=14/18,=0/4,=14/18,=0/4
gemini-1.5-flash-002,PoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,#,0,24,5,24,19,0,19,=19/24,=0/5,=19/24,=0/5
gemini-1.5-flash-002,PoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,#,0,25,6,25,19,0,19,=19/25,=0/6,=19/25,=0/6
gemini-1.5-flash-002,PoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,#,0,26,7,26,19,0,19,=19/26,=0/7,=19/26,=0/7
gemini-1.5-flash-002,PoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,#,0,27,8,27,19,0,19,=19/27,=0/8,=19/27,=0/8
gemini-1.5-flash-002,PoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,#,0,28,9,28,19,0,19,=19/28,=0/9,=19/28,=0/9
gemini-1.5-flash-002,CoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,2.02876,1.8197,1,20,13,20,16,13,16,=16/20,=13/13,=16/20,=13/13
gemini-1.5-flash-002,CoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,2.02876,1.8197,1,30,14,30,20,14,20,=20/30,=14/14,=20/30,=14/14
gemini-1.5-flash-002,PoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,+,0,29,10,29,19,0,19,=19/29,=0/10,=19/29,=0/10
gemini-1.5-flash-002,PoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,+,0,32,11,32,21,0,21,=21/32,=0/11,=21/32,=0/11
gemini-1.5-flash-002,CoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,2.029,1.82,1,31,15,31,21,15,21,=21/31,=15/15,=21/31,=15/15
gemini-1.5-flash-002,CoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,2.02876,1.8197,1,34,16,34,22,16,22,=22/34,=16/16,=22/34,=16/16
gemini-1.5-flash-002,CoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,2.03,1.82,1,35,17,35,23,17,23,=23/35,=17/17,=23/35,=17/17
gemini-1.5-flash-002,one_shot,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,2.02876,1.8197,1,23,6,23,19,6,19,=19/23,=6/6,=19/23,=6/6
gemini-1.5-flash-002,one_shot,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,2.02876,1.8197,1,37,7,37,25,7,25,=25/37,=7/7,=25/37,=7/7
gemini-1.5-flash-002,one_shot,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,2.02876,1.8197,1,38,8,38,26,8,26,=26/38,=8/8,=26/38,=8/8
gemini-1.5-flash-002,CoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,2.02876,1.8197,1,36,18,36,24,18,24,=24/36,=18/18,=24/36,=18/18
gemini-1.5-flash-002,CoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,2.02876,1.8197,1,40,19,40,28,19,28,=28/40,=19/19,=28/40,=19/19
gemini-1.5-flash-002,PoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,+,0,33,12,33,21,0,21,=21/33,=0/12,=21/33,=0/12
gemini-1.5-flash-002,PoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,+,0,42,13,42,29,0,29,=29/42,=0/13,=29/42,=0/13
gemini-1.5-flash-002,one_shot,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,2.02876,1.8197,1,39,9,39,27,9,27,=27/39,=9/9,=27/39,=9/9
gemini-1.5-flash-002,one_shot,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,2.02876,1.8197,1,44,10,44,30,10,30,=30/44,=10/10,=30/44,=10/10
gemini-1.5-flash-002,CoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,2.02876,1.8197,1,41,20,41,29,20,29,=29/41,=20/20,=29/41,=20/20
gemini-1.5-flash-002,CoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,2.02876,1.8197,1,46,21,46,32,21,32,=32/46,=21/21,=32/46,=21/21
gemini-1.5-flash-002,one_shot,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,2.02876,1.8197,1,45,11,45,31,11,31,=31/45,=11/11,=31/45,=11/11
gemini-1.5-flash-002,one_shot,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,2.02876,1.8197,1,48,12,48,34,12,34,=34/48,=12/12,=34/48,=12/12
gemini-1.5-flash-002,one_shot,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,2.02876,1.8197,1,49,13,49,35,13,35,=35/49,=13/13,=35/49,=13/13
gemini-1.5-flash-002,one_shot,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,2.02876,1.8197,1,50,14,50,36,14,36,=36/50,=14/14,=36/50,=14/14
gemini-1.5-flash-002,one_shot,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,2.02876,1.8197,1,51,15,51,37,15,37,=37/51,=15/15,=37/51,=15/15
gemini-1.5-flash-002,CoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,2.02876,1.8197,1,47,22,47,33,22,33,=33/47,=22/22,=33/47,=22/22
gemini-1.5-flash-002,CoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,2.02876,1.8197,1,53,23,53,39,23,39,=39/53,=23/23,=39/53,=23/23
gemini-1.5-flash-002,PoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,+,0,43,14,43,29,0,29,=29/43,=0/14,=29/43,=0/14
gemini-1.5-flash-002,PoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,+,0,55,15,55,40,0,40,=40/55,=0/15,=40/55,=0/15
gemini-1.5-flash-002,one_shot,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,2.02876,1.8197,1,52,16,52,38,16,38,=38/52,=16/16,=38/52,=16/16
gemini-1.5-flash-002,one_shot,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,2.02876,1.8197,1,57,17,57,41,17,41,=41/57,=17/17,=41/57,=17/17
gemini-1.5-flash-002,one_shot,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,2.02876,1.8197,1,58,18,58,42,18,42,=42/58,=18/18,=42/58,=18/18
gemini-1.5-flash-002,one_shot,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,2.02876,1.8197,1,59,19,59,43,19,43,=43/59,=19/19,=43/59,=19/19
gemini-1.5-flash-002,one_shot,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,2.02876,1.8197,1,60,20,60,44,20,44,=44/60,=20/20,=44/60,=20/20
gemini-1.5-flash-002,one_shot,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,2.02876,1.8197,1,61,21,61,45,21,45,=45/61,=21/21,=45/61,=21/21
gemini-1.5-flash-002,one_shot,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,2.02876,1.8197,1,62,22,62,46,22,46,=46/62,=22/22,=46/62,=22/22
gemini-1.5-flash-002,CoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,2.02876,1.8197,1,54,24,54,40,24,40,=40/54,=24/24,=40/54,=24/24
gemini-1.5-flash-002,CoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,2.029,1.82,1,64,25,64,48,25,48,=48/64,=25/25,=48/64,=25/25
gemini-1.5-flash-002,PoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,+,0,56,16,56,40,0,40,=40/56,=0/16,=40/56,=0/16
gemini-1.5-flash-002,PoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,+,0,66,17,66,49,0,49,=49/66,=0/17,=49/66,=0/17
gemini-1.5-flash-002,one_shot,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,2.02876,1.8197,1,63,23,63,47,23,47,=47/63,=23/23,=47/63,=23/23
gemini-1.5-flash-002,one_shot,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,2.02876,1.8197,1,68,24,68,50,24,50,=50/68,=24/24,=50/68,=24/24
gemini-1.5-flash-002,one_shot,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,2.02876,1.8197,1,69,25,69,51,25,51,=51/69,=25/25,=51/69,=25/25
gemini-1.5-flash-002,one_shot,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,2.02876,1.8197,1,70,26,70,52,26,52,=52/70,=26/26,=52/70,=26/26
gemini-1.5-flash-002,CoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,2.029,1.82,1,65,26,65,49,26,49,=49/65,=26/26,=49/65,=26/26
gemini-1.5-flash-002,CoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,2.02876,1.8197,1,72,27,72,54,27,54,=54/72,=27/27,=54/72,=27/27
gemini-1.5-flash-002,one_shot,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,2.02876,1.8197,1,71,27,71,53,27,53,=53/71,=27/27,=53/71,=27/27
gemini-1.5-flash-002,one_shot,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,2.02876,1.8197,1,74,28,74,56,28,56,=56/74,=28/28,=56/74,=28/28
gemini-1.5-flash-002,CoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,2.02876,1.8197,1,73,28,73,55,28,55,=55/73,=28/28,=55/73,=28/28
gemini-1.5-flash-002,CoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,2.029,1.82,1,76,29,76,58,29,58,=58/76,=29/29,=58/76,=29/29
gemini-1.5-flash-002,PoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,+,0,67,18,67,49,0,49,=49/67,=0/18,=49/67,=0/18
gemini-1.5-flash-002,PoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,+,0,78,19,78,59,0,59,=59/78,=0/19,=59/78,=0/19
gemini-1.5-flash-002,one_shot,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,2.02876,1.8197,1,75,29,75,57,29,57,=57/75,=29/29,=57/75,=29/29
gemini-1.5-flash-002,one_shot,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,2.02876,1.8197,1,80,30,80,60,30,60,=60/80,=30/30,=60/80,=30/30
gemini-1.5-flash-002,PoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,+,0,79,20,79,59,0,59,=59/79,=0/20,=59/79,=0/20
gemini-1.5-flash-002,PoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,+,0,82,21,82,61,0,61,=61/82,=0/21,=61/82,=0/21
gemini-1.5-flash-002,PoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,+,0,83,22,83,61,0,61,=61/83,=0/22,=61/83,=0/22
gemini-1.5-flash-002,one_shot,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,2.02876,1.8197,1,81,31,81,61,31,61,=61/81,=31/31,=61/81,=31/31
gemini-1.5-flash-002,one_shot,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,2.02876,1.8197,1,85,32,85,62,32,62,=62/85,=32/32,=62/85,=32/32
gemini-1.5-flash-002,PoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,+,0,84,23,84,61,0,61,=61/84,=0/23,=61/84,=0/23
gemini-1.5-flash-002,PoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,+,0,87,24,87,63,0,63,=63/87,=0/24,=63/87,=0/24
gemini-1.5-flash-002,PoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,+,0,88,25,88,63,0,63,=63/88,=0/25,=63/88,=0/25
gemini-1.5-flash-002,PoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,+,0,89,26,89,63,0,63,=63/89,=0/26,=63/89,=0/26
gemini-1.5-flash-002,PoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,+,0,90,27,90,63,0,63,=63/90,=0/27,=63/90,=0/27
gemini-1.5-flash-002,PoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,+,0,91,28,91,63,0,63,=63/91,=0/28,=63/91,=0/28
gemini-1.5-flash-002,PoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,+,0,92,29,92,63,0,63,=63/92,=0/29,=63/92,=0/29
gemini-1.5-flash-002,PoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,+,0,93,30,93,63,0,63,=63/93,=0/30,=63/93,=0/30
gemini-1.5-flash-002,PoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,+,0,94,31,94,63,0,63,=63/94,=0/31,=63/94,=0/31
gemini-1.5-flash-002,one_shot,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,2.02876,1.8197,1,86,33,86,63,33,63,=63/86,=33/33,=63/86,=33/33
gemini-1.5-flash-002,one_shot,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,2.02876,1.8197,1,96,34,96,64,34,64,=64/96,=34/34,=64/96,=34/34
gemini-1.5-flash-002,PoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,+,0,95,32,95,63,0,63,=63/95,=0/32,=63/95,=0/32
gemini-1.5-flash-002,PoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,+,0,98,33,98,65,0,65,=65/98,=0/33,=65/98,=0/33
gemini-1.5-flash-002,one_shot,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,2.02876,1.8197,1,97,35,97,65,35,65,=65/97,=35/35,=65/97,=35/35
gemini-1.5-flash-002,CoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,2.02876,1.8197,1,77,30,77,59,30,59,=59/77,=30/30,=59/77,=30/30
gemini-1.5-flash-002,PoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,+,0,99,34,99,65,0,65,=65/99,=0/34,=65/99,=0/34
gemini-1.5-flash-002,one_shot,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,2.02876,1.8197,1,100,36,100,66,36,66,=66/100,=36/36,=66/100,=36/36
gemini-1.5-flash-002,one_shot,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,2.02876,1.8197,1,103,37,103,68,37,68,=68/103,=37/37,=68/103,=37/37
gemini-1.5-flash-002,CoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,2.029,1.82,1,101,31,101,67,31,67,=67/101,=31/31,=67/101,=31/31
gemini-1.5-flash-002,CoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,2.02876,1.8197,1,105,32,105,70,32,70,=70/105,=32/32,=70/105,=32/32
gemini-1.5-flash-002,CoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,2.02876,1.8197,1,106,33,106,71,33,71,=71/106,=33/33,=71/106,=33/33
gemini-1.5-flash-002,CoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,2.02876,1.8197,1,107,34,107,72,34,72,=72/107,=34/34,=72/107,=34/34
gemini-1.5-flash-002,PoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,+,0,102,35,102,67,0,67,=67/102,=0/35,=67/102,=0/35
gemini-1.5-flash-002,PoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,+,0,109,36,109,73,0,73,=73/109,=0/36,=73/109,=0/36
gemini-1.5-flash-002,PoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,+,0,110,37,110,73,0,73,=73/110,=0/37,=73/110,=0/37
gemini-1.5-flash-002,one_shot,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,2.02876,1.8197,1,104,38,104,69,38,69,=69/104,=38/38,=69/104,=38/38
gemini-1.5-flash-002,one_shot,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,2.02876,1.8197,1,112,39,112,74,39,74,=74/112,=39/39,=74/112,=39/39
gemini-1.5-flash-002,one_shot,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,2.02876,1.8197,1,113,40,113,75,40,75,=75/113,=40/40,=75/113,=40/40
gemini-1.5-flash-002,one_shot,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,2.02876,1.8197,1,114,41,114,76,41,76,=76/114,=41/41,=76/114,=41/41
gemini-1.5-flash-002,PoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,+,0,111,38,111,73,0,73,=73/111,=0/38,=73/111,=0/38
gemini-1.5-flash-002,PoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,+,0,116,39,116,77,0,77,=77/116,=0/39,=77/116,=0/39
gemini-1.5-flash-002,PoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,+,0,117,40,117,77,0,77,=77/117,=0/40,=77/117,=0/40
gemini-1.5-flash-002,PoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,+,0,118,41,118,77,0,77,=77/118,=0/41,=77/118,=0/41
gemini-1.5-flash-002,PoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,+,0,119,42,119,77,0,77,=77/119,=0/42,=77/119,=0/42
gemini-1.5-flash-002,CoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,2.029,1.8197,1,108,35,108,73,35,73,=73/108,=35/35,=73/108,=35/35
gemini-1.5-flash-002,CoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,2.02876,1.8197,1,121,36,121,78,36,78,=78/121,=36/36,=78/121,=36/36
gemini-1.5-flash-002,CoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,2.02876,1.8197,1,122,37,122,79,37,79,=79/122,=37/37,=79/122,=37/37
gemini-1.5-flash-002,CoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,2.02876,1.8197,1,123,38,123,80,38,80,=80/123,=38/38,=80/123,=38/38
gemini-1.5-flash-002,CoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,2.0288,1.8197,1,124,39,124,81,39,81,=81/124,=39/39,=81/124,=39/39
gemini-1.5-flash-002,PoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,+,0,120,43,120,77,0,77,=77/120,=0/43,=77/120,=0/43
gemini-1.5-flash-002,PoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,+,0,126,44,126,82,0,82,=82/126,=0/44,=82/126,=0/44
gemini-1.5-flash-002,one_shot,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,2.02876,1.8197,1,115,42,115,77,42,77,=77/115,=42/42,=77/115,=42/42
gemini-1.5-flash-002,one_shot,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,2.02876,1.8197,1,128,43,128,83,43,83,=83/128,=43/43,=83/128,=43/43
gemini-1.5-flash-002,PoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,+,0,127,45,127,82,0,82,=82/127,=0/45,=82/127,=0/45
gemini-1.5-flash-002,PoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,+,0,130,46,130,84,0,84,=84/130,=0/46,=84/130,=0/46
gemini-1.5-flash-002,one_shot,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,2.02876,1.8197,1,129,44,129,84,44,84,=84/129,=44/44,=84/129,=44/44
gemini-1.5-flash-002,one_shot,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,2.02876,1.8197,1,132,45,132,85,45,85,=85/132,=45/45,=85/132,=45/45
gemini-1.5-flash-002,one_shot,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,2.02876,1.8197,1,133,46,133,86,46,86,=86/133,=46/46,=86/133,=46/46
gemini-1.5-flash-002,PoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,+,0,131,47,131,84,0,84,=84/131,=0/47,=84/131,=0/47
gemini-1.5-flash-002,PoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,+,0,135,48,135,87,0,87,=87/135,=0/48,=87/135,=0/48
gemini-1.5-flash-002,one_shot,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,2.02876,1.8197,1,134,47,134,87,47,87,=87/134,=47/47,=87/134,=47/47
gemini-1.5-flash-002,one_shot,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,2.02876,1.8197,1,137,48,137,88,48,88,=88/137,=48/48,=88/137,=48/48
gemini-1.5-flash-002,one_shot,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,2.02876,1.8197,1,138,49,138,89,49,89,=89/138,=49/49,=89/138,=49/49
gemini-1.5-flash-002,one_shot,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,2.02876,1.8197,1,139,50,139,90,50,90,=90/139,=50/50,=90/139,=50/50
gemini-1.5-flash-002,CoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,2.02876,1.8198,1,125,40,125,82,40,82,=82/125,=40/40,=82/125,=40/40
gemini-1.5-flash-002,PoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,+,0,136,49,136,87,0,87,=87/136,=0/49,=87/136,=0/49
gemini-1.5-flash-002,PoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,+,0,142,50,142,92,0,92,=92/142,=0/50,=92/142,=0/50
gemini-1.5-flash-002,PoT,0l8LGCOE0BO1WFOe2b7RdKTBiGhPWYgr53kOLA==,+,0,143,51,143,92,0,92,=92/143,=0/51,=92/143,=0/51
